player_id,name,position,nfl_team,bye_week,proj_points,proj_stdev,adp
SAMPLE1,QB Player 1,QB,FA,8,252.9,19.2,1.0
SAMPLE2,QB Player 2,QB,FA,11,243.4,20.5,2.3
SAMPLE3,QB Player 3,QB,FA,5,234.5,21.8,2.9
SAMPLE4,QB Player 4,QB,FA,12,222.5,23.0,3.9
SAMPLE5,QB Player 5,QB,FA,14,213.9,24.2,4.4
SAMPLE25,RB Player 1,RB,FA,7,213.2,33.9,6.4
SAMPLE6,QB Player 6,QB,FA,11,210.0,25.5,6.2
SAMPLE7,QB Player 7,QB,FA,11,206.2,26.8,7.9
SAMPLE26,RB Player 2,RB,FA,6,201.3,34.8,8.2
SAMPLE85,WR Player 1,WR,FA,13,200.2,30.7,10.1
SAMPLE8,QB Player 8,QB,FA,8,197.3,28.0,11.2
SAMPLE86,WR Player 2,WR,FA,14,195.1,31.4,11.2
SAMPLE27,RB Player 3,RB,FA,13,194.7,35.8,12.4
SAMPLE28,RB Player 4,RB,FA,5,192.5,36.7,13.7
SAMPLE9,QB Player 9,QB,FA,5,191.0,29.2,16.5
SAMPLE87,WR Player 3,WR,FA,10,190.5,32.1,17.0
SAMPLE88,WR Player 4,WR,FA,9,185.8,32.9,19.9
SAMPLE10,QB Player 10,QB,FA,8,183.4,30.5,18.5
SAMPLE29,RB Player 5,RB,FA,8,180.5,37.6,18.2
SAMPLE89,WR Player 5,WR,FA,9,179.0,33.6,19.5
SAMPLE30,RB Player 6,RB,FA,6,176.6,38.5,19.5
SAMPLE31,RB Player 7,RB,FA,10,174.3,39.4,19.3
SAMPLE90,WR Player 6,WR,FA,14,173.3,34.3,21.9
SAMPLE11,QB Player 11,QB,FA,8,172.9,31.8,27.6
SAMPLE12,QB Player 12,QB,FA,11,170.3,33.0,20.4
SAMPLE91,WR Player 7,WR,FA,5,166.3,35.0,23.8
SAMPLE33,RB Player 9,RB,FA,12,163.2,41.2,23.8
SAMPLE13,QB Player 13,QB,FA,14,162.5,34.2,27.4
SAMPLE32,RB Player 8,RB,FA,5,162.3,40.3,23.0
SAMPLE92,WR Player 8,WR,FA,11,160.6,35.7,32.6
SAMPLE93,WR Player 9,WR,FA,5,156.0,36.4,32.5
SAMPLE15,QB Player 15,QB,FA,13,155.1,36.8,31.3
SAMPLE34,RB Player 10,RB,FA,5,154.7,42.2,33.7
SAMPLE155,TE Player 1,TE,FA,11,154.5,22.5,36.1
SAMPLE14,QB Player 14,QB,FA,9,154.1,35.5,38.0
SAMPLE156,TE Player 2,TE,FA,7,149.4,23.9,37.5
SAMPLE94,WR Player 10,WR,FA,14,149.3,37.1,40.2
SAMPLE35,RB Player 11,RB,FA,8,147.5,43.1,41.1
SAMPLE36,RB Player 12,RB,FA,7,145.8,44.0,39.0
SAMPLE157,TE Player 3,TE,FA,5,145.7,25.4,40.0
SAMPLE95,WR Player 11,WR,FA,7,144.3,37.9,44.2
SAMPLE16,QB Player 16,QB,FA,5,144.0,38.0,43.3
SAMPLE17,QB Player 17,QB,FA,12,143.0,39.2,44.8
