player_id,name,position,proj_points,proj_stdev,adp,adp_stdev
9509,Bijan Robinson,RB,375.6,17.4,1.6,0.7
9221,Jahmyr Gibbs,RB,334.1,15.47,1.8,0.8
9493,Puka Nacua,WR,391.6,18.29,2.7,0.8
7564,Ja'Marr Chase,WR,347.0,16.2,3.9,1.0
4034,Christian McCaffrey,RB,317.5,14.71,5.1,1.3
9488,Jaxon Smith-Njigba,WR,327.5,15.29,5.9,1.6
7547,Amon-Ra St. Brown,WR,299.7,13.99,7.2,1.4
6813,Jonathan Taylor,RB,302.4,14.01,7.7,1.7
9226,De'Von Achane,RB,283.9,13.15,9.5,1.6
6794,Justin Jefferson,WR,290.7,13.57,10.3,1.7
6786,CeeDee Lamb,WR,286.6,13.38,10.6,2.1
12527,Ashton Jeanty,RB,280.5,12.99,11.9,2.5
8112,Drake London,WR,272.6,12.73,12.8,1.6
5859,A.J. Brown,WR,267.2,12.47,13.6,2.4
8138,James Cook III,RB,258.7,11.99,13.7,2.6
3198,Derrick Henry,RB,254.1,11.77,16.0,2.1
9224,Chase Brown,RB,253.4,11.74,16.3,2.7
12507,Omarion Hampton,RB,245.5,11.37,17.4,3.2
8137,George Pickens,WR,260.5,12.16,18.5,2.8
4866,Saquon Barkley,RB,241.5,11.19,19.8,3.0
8144,Chris Olave,WR,254.8,11.9,20.9,3.2
8151,Kenneth Walker III,RB,234.8,10.88,22.5,2.8
13287,Jeremiyah Love,RB,231.2,10.71,22.6,3.0
7569,Nico Collins,WR,248.8,11.62,23.4,2.9
9997,Zay Flowers,WR,247.7,11.57,25.6,2.4
6801,Tee Higgins,WR,242.8,11.34,27.0,2.8
10229,Rashee Rice,WR,239.5,11.18,27.3,3.4
4984,Josh Allen,QB,424.8,11.08,27.9,7.3
8146,Garrett Wilson,WR,237.3,11.08,28.2,3.1
7525,DeVonta Smith,WR,232.1,10.84,28.2,3.6
5850,Josh Jacobs,RB,229.2,10.62,28.3,3.4
8130,Trey McBride,TE,272.8,13.19,28.7,4.9
8155,Breece Hall,RB,224.1,10.38,30.3,3.8
8150,Kyren Williams,RB,221.3,10.25,32.8,4.0
12526,Tetairoa McMillan,WR,226.2,10.56,33.3,3.4
7588,Javonte Williams,RB,217.6,10.08,35.4,4.1
11604,Brock Bowers,TE,231.8,11.21,35.7,5.5
5927,Terry McLaurin,WR,223.6,10.44,36.2,3.8
11635,Ladd McConkey,WR,222.2,10.37,36.7,5.1
12481,Cam Skattebo,RB,208.6,9.66,37.7,5.1
7543,Travis Etienne Jr.,RB,204.7,9.48,39.9,5.5
2133,Davante Adams,WR,220.1,10.28,40.7,4.4
7526,Jaylen Waddle,WR,217.9,10.17,40.8,4.7
11632,Malik Nabers,WR,213.3,9.96,43.1,5.6
12514,Emeka Egbuka,WR,211.1,9.86,45.5,5.5
12519,Luther Burden III,WR,209.4,9.78,45.8,5.1
11584,Bucky Irving,RB,200.1,9.27,46.6,5.3
12517,Colston Loveland,TE,218.8,10.58,46.8,5.0
6770,Joe Burrow,QB,388.8,10.15,46.9,8.3
6790,D'Andre Swift,RB,196.6,9.11,47.5,4.9
8148,Jameson Williams,WR,208.3,9.73,48.5,5.1
2216,Mike Evans,WR,206.0,9.62,49.6,5.6
12512,Quinshon Judkins,RB,193.9,8.98,49.7,4.8
11620,Rome Odunze,WR,199.1,9.3,54.0,5.6
12518,Tyler Warren,TE,210.6,10.18,54.3,7.8
4881,Lamar Jackson,QB,372.6,9.72,55.8,8.5
5892,David Montgomery,RB,190.4,8.82,56.2,5.8
5846,DK Metcalf,WR,196.4,9.17,56.2,6.1
12529,TreVeyon Henderson,RB,186.7,8.65,58.0,6.3
3294,Dak Prescott,QB,360.9,9.42,59.7,10.7
8142,Alec Pierce,WR,195.5,9.13,59.9,6.5
8167,Christian Watson,WR,195.1,9.11,59.9,7.3
12490,Bhayshul Tuten,RB,180.7,8.37,60.2,5.9
13279,Carnell Tate,WR,192.7,9.0,62.6,7.0
11564,Drake Maye,QB,336.6,8.78,63.3,7.0
11628,Marvin Harrison Jr.,WR,190.0,8.87,64.4,6.6
8228,Jaylen Warren,RB,178.4,8.27,64.9,6.0
4983,DJ Moore,WR,188.6,8.81,64.9,7.8
12506,Harold Fannin Jr.,TE,191.8,9.28,68.9,6.4
6819,Michael Pittman Jr.,WR,186.3,8.7,70.9,7.1
5967,Tony Pollard,RB,176.7,8.19,71.2,6.7
7611,Rhamondre Stevenson,RB,174.3,8.07,71.5,5.2
5045,Courtland Sutton,WR,181.8,8.49,71.9,6.8
13286,Jadarian Price,RB,166.1,7.7,72.8,7.7
10859,Sam LaPorta,TE,180.7,8.74,72.9,8.9
9484,Tucker Kraft,TE,169.0,8.17,73.2,8.3
9487,Parker Washington,WR,175.5,8.19,73.4,7.4
4046,Patrick Mahomes,QB,316.7,8.26,74.8,11.2
4037,Chris Godwin Jr.,WR,175.1,8.18,78.7,7.2
7021,Rico Dowdle,RB,163.6,7.58,78.8,7.5
7594,Chuba Hubbard,RB,159.7,7.4,79.5,8.1
6797,Justin Herbert,QB,312.0,8.14,80.1,10.4
10232,Michael Wilson,WR,171.8,8.02,82.6,6.8
11631,Brian Thomas Jr.,WR,168.7,7.88,83.3,8.5
13281,Jordyn Tyson,WR,167.7,7.83,83.8,8.6
7523,Trevor Lawrence,QB,306.0,7.98,84.9,9.8
10222,Jayden Reed,WR,163.7,7.65,84.9,6.8
7553,Kyle Pitts Sr.,TE,167.7,8.11,85.2,13.2
9500,Josh Downs,WR,160.9,7.51,86.4,7.8
11566,Jayden Daniels,QB,299.4,7.81,86.9,12.2
8126,Wan'Dale Robinson,WR,159.3,7.44,89.0,9.5
12489,RJ Harvey,RB,151.1,7.0,90.3,10.4
4199,Aaron Jones Sr.,RB,145.6,6.74,91.9,9.5
9756,Jordan Addison,WR,154.1,7.2,92.6,9.1
1466,Travis Kelce,TE,163.7,7.92,93.9,17.0
3163,Jared Goff,QB,294.5,7.69,94.2,12.6
6806,J.K. Dobbins,RB,142.7,6.61,94.4,10.4
ffc_1327,Seattle Defense,DEF,140.0,4.0,94.7,9.6
6904,Jalen Hurts,QB,288.8,7.53,95.6,12.8
5947,Jakobi Meyers,WR,152.9,7.14,96.2,8.1
9754,Quentin Johnston,WR,151.3,7.07,97.1,8.6
11624,Xavier Worthy,WR,149.7,6.99,98.6,7.2
ffc_5196,Kenny Gainwell,RB,139.1,6.44,99.9,10.5
11638,Ricky Pearsall,WR,148.6,6.94,100.4,9.3
ffc_1309,Denver Defense,DEF,134.4,4.0,100.9,8.1
8136,Rachaad White,RB,135.2,6.26,101.1,10.7
8183,Brock Purdy,QB,282.5,7.37,101.2,12.0
8134,Khalil Shakir,WR,145.4,6.79,102.1,7.7
8121,Romeo Doubs,WR,138.3,6.46,103.8,8.5
421,Matthew Stafford,QB,269.6,7.03,104.6,12.3
12534,Kyle Monangai,RB,132.3,6.13,105.6,13.2
13294,Makai Lemon,WR,136.1,6.35,106.3,9.3
ffc_1328,LA Rams Defense,DEF,129.0,4.0,106.5,9.5
4217,George Kittle,TE,152.2,7.36,106.9,17.8
11560,Caleb Williams,QB,262.3,6.84,108.9,12.4
ffc_1312,Houston Defense,DEF,123.9,4.0,109.6,9.3
ffc_1318,New England Defense,DEF,118.9,4.0,110.9,7.6
12501,Matthew Golden,WR,134.2,6.27,112.5,7.4
11646,Jalen Coker,WR,131.5,6.14,114.8,5.9
8110,Jake Ferguson,TE,146.9,7.1,118.0,17.2
11563,Bo Nix,QB,253.5,6.62,118.4,12.1
13298,KC Concepcion,WR,130.1,6.07,120.1,7.8
11586,Blake Corum,RB,129.8,6.01,120.4,13.9
12508,Jaxson Dart,QB,248.8,6.49,121.3,11.2
12484,Jayden Higgins,WR,128.0,5.98,122.5,9.5
12533,Jacory Croskey-Merritt,RB,126.1,5.84,122.9,13.4
8408,Jordan Mason,RB,121.1,5.61,125.8,14.0
11583,Jonathon Brooks,RB,117.1,5.42,127.3,15.9
5022,Dallas Goedert,TE,143.4,6.93,127.4,14.3
ffc_1323,Philadelphia Defense,DEF,114.2,4.0,127.8,13.8
9508,Tyjae Spears,RB,115.4,5.35,128.9,10.9
4892,Baker Mayfield,QB,239.7,6.25,129.3,11.4
5012,Mark Andrews,TE,139.4,6.74,129.6,16.8
7049,Jauan Jennings,WR,124.6,5.82,130.5,9.0
8676,Rashid Shaheed,WR,121.7,5.68,130.7,7.6
6804,Jordan Love,QB,228.4,5.96,132.1,9.3
ffc_1314,Jacksonville Defense,DEF,109.6,4.0,132.4,14.4
13346,Denzel Boston,WR,121.4,5.67,132.7,10.6
13276,Omar Cooper Jr.,WR,118.7,5.54,133.3,8.2
10213,Tre Tucker,WR,117.6,5.49,135.2,8.4
12474,Woody Marks,RB,110.5,5.12,135.2,23.6
8180,Jalen Nailor,WR,116.6,5.45,135.8,9.4
8131,Isaiah Likely,TE,137.5,6.65,136.9,18.5
6783,Jerry Jeudy,WR,116.1,5.42,137.7,9.6
10236,Dalton Kincaid,TE,133.8,6.47,138.2,14.1
ffc_1308,Dallas Defense,DEF,105.2,4.0,139.3,46.5
12457,Jaydon Blue,RB,106.1,4.92,140.0,24.9
ffc_1310,Detroit Defense,DEF,101.0,4.0,140.3,12.6
11618,Jalen McMillan,WR,113.5,5.3,142.0,9.6
ffc_1317,Minnesota Defense,DEF,97.0,4.0,143.2,14.3
13301,Antonio Williams,WR,113.1,5.28,145.9,12.2
4943,Sam Darnold,QB,222.1,5.8,146.1,8.3
3214,Hunter Henry,TE,127.3,6.16,148.4,16.3
9758,C.J. Stroud,QB,206.7,5.39,148.7,11.1
5849,Kyler Murray,QB,198.0,5.17,149.0,13.5
6803,Brandon Aiyuk,WR,112.9,5.27,149.1,14.9
ffc_1306,Cincinnati Defense,DEF,93.1,4.0,149.6,37.8
ffc_1324,Pittsburgh Defense,DEF,89.4,4.0,151.3,16.0
12545,Tyler Shough,QB,187.0,4.88,151.7,13.6
11655,Tyrone Tracy Jr.,RB,102.5,4.75,151.8,20.0
13330,Kenyon Sadiq,TE,123.2,5.96,152.2,18.2
4981,Calvin Ridley,WR,110.5,5.16,153.0,11.1
ffc_1303,Buffalo Defense,DEF,85.8,4.0,153.2,18.0
9480,Brenton Strange,TE,120.5,5.83,153.7,19.5
10219,Chris Rodriguez Jr.,RB,100.3,4.65,154.4,16.5
4035,Alvin Kamara,RB,97.1,4.5,155.5,19.8
11610,Malik Washington,WR,109.2,5.1,155.8,15.9
9753,Zach Charbonnet,RB,95.4,4.42,156.0,21.3
5844,T.J. Hockenson,TE,118.6,5.74,156.1,24.5
ffc_1332,Baltimore Defense,DEF,82.3,4.0,156.3,16.4
8205,Isiah Pacheco,RB,93.4,4.33,156.6,19.2
11783,Ryan Flournoy,WR,108.4,5.06,156.8,13.3
9502,Tank Dell,WR,105.5,4.93,158.2,15.4
ffc_1325,LA Chargers Defense,DEF,79.1,4.0,158.5,15.3
7002,Juwan Johnson,TE,115.6,5.59,159.0,17.5
5870,Daniel Jones,QB,178.2,4.65,159.8,12.5
ffc_1311,Green Bay Defense,DEF,75.9,4.0,160.1,21.8
12530,Travis Hunter,WR,104.2,4.87,160.3,16.7
13311,Chris Bell,WR,103.4,4.83,160.4,12.3
12469,Dylan Sampson,RB,90.6,4.2,160.7,15.0
13274,Germie Bernard,WR,102.6,4.79,161.1,12.5
9228,Bryce Young,QB,169.0,4.41,161.8,26.9
12493,Oronde Gadsden,TE,110.8,5.36,162.4,17.5
7571,Rashod Bateman,WR,102.0,4.76,162.8,18.8
9225,Tank Bigsby,RB,88.3,4.09,163.2,8.2
4039,Cooper Kupp,WR,100.5,4.69,163.4,13.0
8154,Brian Robinson Jr.,RB,85.8,3.97,163.9,32.7
8161,Malik Willis,QB,165.8,4.33,164.4,14.5
13320,Zachariah Branch,WR,98.2,4.58,164.6,13.7
13305,Mike Washington Jr.,RB,84.5,3.91,165.2,19.1
11625,Adonai Mitchell,WR,97.4,4.55,165.3,11.1
ffc_1320,NY Giants Defense,DEF,72.9,4.0,166.9,22.5
8132,Tyler Allgeier,RB,82.5,3.82,167.0,22.7
12535,Isaac TeSlaa,WR,96.4,4.5,167.3,16.1
ffc_1305,Chicago Defense,DEF,69.9,4.0,167.6,14.5
12522,Cam Ward,QB,158.5,4.14,167.7,26.5
ffc_1331,Washington Defense,DEF,67.1,4.0,168.3,13.2
ffc_5453,Chig Okonkwo,TE,110.1,5.33,169.4,16.1
9511,Keaton Mitchell,RB,79.5,3.68,170.1,17.1
13345,Jonah Coleman,RB,75.3,3.49,171.1,6.7
5001,Dalton Schultz,TE,106.5,5.15,171.8,13.2
13269,Fernando Mendoza,QB,156.9,4.09,172.9,14.0
11575,Ray Davis,RB,73.1,3.39,173.3,8.0
ffc_1321,NY Jets Defense,DEF,64.5,4.0,173.7,11.1
ffc_1326,San Francisco Defense,DEF,61.9,4.0,173.9,12.4
ffc_1334,Atlanta Defense,DEF,59.4,4.0,174.1,10.4
6149,Darius Slayton,WR,93.6,4.37,175.7,18.1
