player_id,name,position,proj_points,proj_stdev,game_cv,season_cv,adp,adp_stdev
9221,Jahmyr Gibbs,RB,342.2,16.36,0.813,0.35,1.5,0.7
9509,Bijan Robinson,RB,303.7,14.52,0.813,0.35,2.2,0.6
9493,Puka Nacua,WR,336.7,16.74,0.845,0.344,2.9,0.4
7564,Ja'Marr Chase,WR,292.8,14.56,0.845,0.344,3.9,1.0
4034,Christian McCaffrey,RB,287.2,13.73,0.813,0.35,5.3,1.4
6813,Jonathan Taylor,RB,278.4,13.31,0.813,0.35,6.3,1.1
9488,Jaxon Smith-Njigba,WR,274.6,13.66,0.845,0.344,7.0,1.5
7547,Amon-Ra St. Brown,WR,256.4,12.75,0.845,0.344,8.2,1.7
9226,De'Von Achane,RB,255.8,12.23,0.813,0.35,9.7,2.1
3198,Derrick Henry,RB,246.0,11.76,0.813,0.35,10.0,1.3
8138,James Cook III,RB,235.4,11.25,0.813,0.35,10.2,2.1
6786,CeeDee Lamb,WR,248.4,12.35,0.845,0.344,12.4,2.4
8112,Drake London,WR,238.6,11.87,0.845,0.344,12.9,1.7
6794,Justin Jefferson,WR,227.9,11.33,0.845,0.344,13.0,2.1
12527,Ashton Jeanty,RB,228.6,10.93,0.813,0.35,13.8,3.0
5859,A.J. Brown,WR,219.5,10.91,0.845,0.344,16.0,2.6
4866,Saquon Barkley,RB,220.2,10.52,0.813,0.35,17.0,2.9
12507,Omarion Hampton,RB,218.4,10.44,0.813,0.35,17.4,3.6
8137,George Pickens,WR,213.2,10.6,0.845,0.344,18.6,1.9
8151,Kenneth Walker III,RB,215.2,10.29,0.813,0.35,18.9,3.2
9224,Chase Brown,RB,210.8,10.08,0.813,0.35,20.4,2.8
8144,Chris Olave,WR,209.8,10.43,0.845,0.344,22.6,2.3
6801,Tee Higgins,WR,205.7,10.23,0.845,0.344,23.9,2.2
7569,Nico Collins,WR,204.8,10.19,0.845,0.344,24.0,2.8
9997,Zay Flowers,WR,203.2,10.1,0.845,0.344,25.3,3.3
5850,Josh Jacobs,RB,207.4,9.91,0.813,0.35,25.4,3.1
13287,Jeremiyah Love,RB,204.6,9.78,0.813,0.35,27.2,2.7
10229,Rashee Rice,WR,201.4,10.02,0.845,0.344,27.2,3.3
4984,Josh Allen,QB,422.9,10.92,0.439,0.132,28.4,5.0
8146,Garrett Wilson,WR,193.8,9.64,0.845,0.344,29.6,3.0
7525,DeVonta Smith,WR,190.6,9.48,0.845,0.344,30.1,2.5
8150,Kyren Williams,RB,198.8,9.5,0.813,0.35,30.5,4.0
8155,Breece Hall,RB,195.3,9.34,0.813,0.35,30.7,2.9
7588,Javonte Williams,RB,193.2,9.23,0.813,0.35,32.7,3.5
12526,Tetairoa McMillan,WR,188.7,9.38,0.845,0.344,34.8,4.0
12481,Cam Skattebo,RB,189.0,9.03,0.813,0.35,35.4,4.4
5927,Terry McLaurin,WR,187.4,9.32,0.845,0.344,36.4,3.6
11635,Ladd McConkey,WR,184.1,9.15,0.845,0.344,36.6,4.6
8130,Trey McBride,TE,228.0,11.81,0.881,0.314,37.3,6.3
2133,Davante Adams,WR,181.4,9.02,0.845,0.344,37.6,3.4
7543,Travis Etienne Jr.,RB,183.4,8.77,0.813,0.35,37.7,4.8
7526,Jaylen Waddle,WR,179.2,8.91,0.845,0.344,38.9,6.8
8148,Jameson Williams,WR,178.1,8.86,0.845,0.344,41.8,3.4
11632,Malik Nabers,WR,176.9,8.8,0.845,0.344,43.7,4.9
11604,Brock Bowers,TE,190.0,9.84,0.881,0.314,44.6,7.5
12514,Emeka Egbuka,WR,174.7,8.69,0.845,0.344,45.3,5.5
12519,Luther Burden III,WR,172.2,8.56,0.845,0.344,45.9,4.7
11584,Bucky Irving,RB,180.7,8.63,0.813,0.35,46.2,6.2
6790,D'Andre Swift,RB,176.1,8.42,0.813,0.35,46.4,4.3
6770,Joe Burrow,QB,390.5,10.09,0.439,0.132,48.7,8.5
12512,Quinshon Judkins,RB,174.5,8.34,0.813,0.35,49.4,5.0
2216,Mike Evans,WR,168.3,8.37,0.845,0.344,49.8,5.5
11620,Rome Odunze,WR,164.1,8.16,0.845,0.344,51.8,4.3
12517,Colston Loveland,TE,176.9,9.16,0.881,0.314,52.5,4.9
3294,Dak Prescott,QB,376.1,9.71,0.439,0.132,54.9,13.2
12490,Bhayshul Tuten,RB,171.2,8.18,0.813,0.35,55.5,6.8
4881,Lamar Jackson,QB,364.3,9.41,0.439,0.132,55.7,7.9
5892,David Montgomery,RB,167.2,7.99,0.813,0.35,55.8,5.3
5846,DK Metcalf,WR,162.5,8.08,0.845,0.344,56.2,4.7
8142,Alec Pierce,WR,158.4,7.88,0.845,0.344,58.4,6.1
8167,Christian Watson,WR,157.8,7.85,0.845,0.344,59.1,6.4
12529,TreVeyon Henderson,RB,160.2,7.66,0.813,0.35,59.6,6.2
12518,Tyler Warren,TE,166.6,8.63,0.881,0.314,62.2,8.1
13279,Carnell Tate,WR,156.1,7.76,0.845,0.344,62.5,5.6
11564,Drake Maye,QB,339.1,8.76,0.439,0.132,63.9,6.8
11628,Marvin Harrison Jr.,WR,154.5,7.68,0.845,0.344,64.0,6.3
4983,DJ Moore,WR,152.4,7.58,0.845,0.344,64.8,7.3
8228,Jaylen Warren,RB,157.1,7.51,0.813,0.35,65.0,2.9
13286,Jadarian Price,RB,155.6,7.44,0.813,0.35,65.4,8.3
5045,Courtland Sutton,WR,150.5,7.48,0.845,0.344,69.2,7.2
9487,Parker Washington,WR,149.2,7.42,0.845,0.344,71.1,6.2
5967,Tony Pollard,RB,151.7,7.25,0.813,0.35,71.7,7.7
4046,Patrick Mahomes,QB,321.6,8.31,0.439,0.132,72.2,10.4
11631,Brian Thomas Jr.,WR,144.1,7.17,0.845,0.344,73.9,6.4
7611,Rhamondre Stevenson,RB,147.5,7.05,0.813,0.35,75.7,7.9
6819,Michael Pittman Jr.,WR,142.4,7.08,0.845,0.344,78.7,5.7
9484,Tucker Kraft,TE,154.2,7.99,0.881,0.314,78.7,7.9
7021,Rico Dowdle,RB,144.6,6.91,0.813,0.35,78.9,7.4
10859,Sam LaPorta,TE,147.9,7.66,0.881,0.314,79.2,6.9
10232,Michael Wilson,WR,139.4,6.93,0.845,0.344,79.5,7.3
12506,Harold Fannin Jr.,TE,138.5,7.18,0.881,0.314,79.6,8.2
6797,Justin Herbert,QB,316.5,8.17,0.439,0.132,80.2,9.9
4037,Chris Godwin Jr.,WR,137.6,6.84,0.845,0.344,80.7,9.0
